"RANK,NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg"
",Cody Williams,Uta,*,F,21.1,13,12.1,12,11.1,3,0.333,21,0.524,19,0.105,0.35,0.351,2.2,0.9,0.5,0.2,0.2,0.4,3.2,2.7,3.6,3.3,76.5,115.1"
",Julian Champagnie,San,*,F,24.5,24,28.8,15.2,11.4,51,0.843,54,0.574,147,0.381,0.572,0.611,11.4,5.5,1.5,1,0.5,1.1,16.9,12.8,18.3,6.3,121,111.7"
",Harrison Barnes,San,*,F,33.5,24,31.1,15.9,11.8,44,0.886,95,0.568,136,0.434,0.617,0.647,13.5,3.4,2.2,1,0.2,1.3,16.9,15.7,19,6,125.6,113.9"
",Victor Wembanyama,San,*,F-C,21.9,12,34.7,30.5,16.3,84,0.857,163,0.558,58,0.345,0.548,0.609,26.2,12.9,4,1.1,3.6,3.6,39.1,30.2,43.1,12.7,116.1,102"
",Devin Vassell,San,*,G-F,25.3,24,32.4,19.1,7.6,49,0.878,140,0.471,165,0.394,0.536,0.567,15.4,3.7,2.5,1,0.5,1,19.1,17.9,21.6,6.4,116.6,111.5"
",Stephon Castle,San,*,G,21.1,15,31,25.9,24,102,0.716,125,0.6,58,0.276,0.541,0.595,18.1,6,7.3,1.5,0.3,3.9,24.1,25.4,31.4,11.9,115.3,104.5"
",Luke Kornet,San,*,C-F,30.4,16,25.5,10.5,13.2,41,0.805,72,0.625,0,0,0.625,0.683,7.7,6.3,2.3,0.3,1.5,0.7,14,9.9,16.3,7.6,152.1,110.7"
",Keldon Johnson,San,*,F-G,26.2,24,24,19.3,9.9,71,0.746,145,0.676,64,0.344,0.627,0.656,13.1,6.5,1.7,0.8,0.1,1,19.7,14.8,21.4,8.8,134.4,108.1"
",Dylan Harper,San,*,G,19.8,14,21.7,27,12.6,46,0.717,119,0.538,33,0.273,0.51,0.546,13.4,3.1,3.9,0.9,0,1.6,16.5,17.3,20.4,10,114.5,106.9"
",Jordan McLaughlin,San,*,G,29.7,9,8.3,15.4,7.6,3,1,9,0.556,15,0.333,0.521,0.553,3.1,0.6,1.1,0.8,0,0.2,3.7,4.2,4.8,6.1,126.3,107.4"
",Carter Bryant,San,*,F,20,18,7.9,17.4,10.5,4,0.75,23,0.391,28,0.286,0.412,0.426,2.5,1.7,0.1,0.2,0.1,0.3,4.2,2.6,4.2,3.8,87.4,106.3"
",Bismack Biyombo,San,*,C,33.3,8,7.2,5.7,41.6,2,0.5,4,0.75,0,0,0.75,0.717,0.9,0.8,0.4,0.4,0.1,0.4,1.6,1.3,2,3.7,107.7,100.3"
",Harrison Ingram,San,*,F,23,3,3.6,11.7,0,0,0,2,0.5,1,1,0.833,0.833,1.7,1,0,0,0,0,2.7,1.7,2.7,0,0,0"
",David Jones Garcia,San,*,F,24.1,10,6.7,20.5,16.5,6,0.5,20,0.5,5,0.6,0.58,0.579,3.2,1.2,1.8,0.6,0.1,0.5,4.4,5,6.2,11.4,125.1,105.6"
",Riley Minix,San,*,F,25.2,3,2.8,30.5,0,0,0,3,1,3,0.333,0.75,0.75,3,0.7,0.3,0.3,0,0,3.7,3.3,4,12.2,0,0"
",P.J. Washington,Dal,*,F,27.3,21,31.6,23.3,16.3,82,0.683,175,0.503,101,0.327,0.498,0.53,15.8,7.6,2.2,1.2,1.2,2.6,23.4,18,25.6,8.1,98.7,107.6"
",Anthony Davis,Dal,*,F-C,32.8,11,29.6,27.8,10.3,47,0.702,152,0.546,22,0.318,0.537,0.565,20,10.5,3.2,1.4,1.6,1.8,30.5,23.2,33.7,11.8,115.7,105.5"
",Dereck Lively II,Dal,*,C,21.8,7,16.5,11.9,35.3,10,0.8,18,0.611,0,0,0.611,0.67,4.3,5.3,1.9,0.6,1.6,1.4,9.6,6.1,11.4,8.5,121.9,96.1"
",Klay Thompson,Dal,*,G,35.8,24,21.8,22.5,7.3,16,0.813,67,0.403,185,0.357,0.5,0.512,11,2.6,1.4,0.3,0.3,0.8,13.6,12.4,15,6.3,100.3,114.5"
",Cooper Flagg,Dal,*,F,19,25,33.7,22.3,12.8,93,0.817,269,0.554,84,0.25,0.511,0.555,17.5,6.3,3.4,1.3,0.7,2.1,23.8,20.9,27.2,8.6,109.1,109.9"
",Naji Marshall,Dal,*,F,27.9,26,27.7,16.9,11.9,102,0.804,134,0.649,80,0.313,0.582,0.639,12.7,4.8,2.6,1.2,0.1,1.1,17.5,15.3,20.1,7.8,126.8,109"
",Max Christie,Dal,*,G,22.8,26,29.1,14.9,12,40,0.825,78,0.513,142,0.465,0.632,0.654,12,3.3,1.9,0.5,0.5,1.2,15.3,13.9,17.2,5.8,118.9,113.4"
",D'Angelo Russell,Dal,*,G,29.8,21,20.3,27.4,17.9,58,0.707,105,0.514,101,0.287,0.473,0.51,11.2,2.6,4.3,0.4,0.1,2.1,13.9,15.6,18.2,9.9,100.5,112"
",Ryan Nembhard,Dal,*,G,22.8,13,18.7,17.8,16.8,3,0.667,53,0.566,31,0.484,0.625,0.627,8.2,1.6,4.8,0.2,0,1.3,9.8,13,14.6,8.5,123.1,112.2"
",Dwight Powell,Dal,*,F-C,34.4,21,11.1,8.6,26.2,30,0.733,25,0.64,0,0,0.64,0.707,2.6,2.1,0.9,0.5,0.2,0.4,4.7,3.5,5.6,6.1,141.8,98.1"
",Brandon Williams,Dal,*,G,26.1,24,21.8,24.7,16.2,80,0.8,158,0.481,69,0.203,0.427,0.492,10.8,2.5,4.2,1.4,0.2,1.8,13.2,14.9,17.4,8.9,102,109.8"
",Jaden Hardy,Dal,*,G,23.4,20,10.5,24.1,13.6,22,0.818,35,0.371,60,0.417,0.532,0.568,6,1.2,0.5,0.2,0.1,0.8,7.1,6.4,7.6,5.8,102.1,109.3"
",Caleb Martin,Dal,*,F,30.2,22,9.1,10.2,17.6,8,0.875,24,0.292,13,0.154,0.27,0.333,1.2,1.5,0.9,0.5,0.1,0.4,2.7,2.1,3.6,5.2,89,98.6"
",Moussa Cisse,Dal,*,C,23.3,18,10.1,13.7,27.6,27,0.407,34,0.618,0,0,0.618,0.578,2.9,3.3,0.2,0.2,1.1,0.7,6.3,3.1,6.4,4.9,107.4,98.9"
",DeMar DeRozan,Sac,*,G-F,36.4,25,32.6,20.7,7.5,113,0.894,272,0.522,50,0.38,0.53,0.595,17.7,3.2,3.4,1.3,0.2,1,20.8,21.1,24.2,7.1,122,119.3"
",Nique Clifford,Sac,*,G,23.8,21,16.7,14,17.5,18,0.667,50,0.46,39,0.282,0.444,0.469,4.3,2.7,1.4,0.4,0.3,0.9,7,5.8,8.4,6.1,95.1,111.9"
",Drew Eubanks,Sac,*,F-C,28.9,25,14.4,15.3,19.4,38,0.526,89,0.618,2,0.5,0.621,0.617,5.3,2.8,0.3,0.5,0.7,0.9,8.2,5.6,8.5,4.6,107.9,114.4"
",Zach LaVine,Sac,*,G,30.8,22,33.6,23.9,12.9,82,0.866,174,0.575,157,0.389,0.579,0.618,20.6,3.1,2.3,0.8,0.2,2.2,23.7,23,26,6.3,111.6,119.8"
",Dennis Schroder,Sac,*,G,32.2,18,29.2,21,14.4,41,0.78,126,0.437,81,0.333,0.461,0.495,12.4,3.7,6,0.8,0.2,1.9,16.1,18.4,22.1,8.9,104.1,119.1"
",Maxime Raynaud,Sac,*,C,22.7,17,18,19.1,10.4,29,0.759,98,0.551,14,0.357,0.549,0.581,8.5,4.6,1,0.4,0.5,0.8,13.2,9.5,14.2,7.5,116.2,111.6"
",Malik Monk,Sac,*,G,27.9,22,23.8,22.8,10.2,40,0.85,135,0.467,102,0.402,0.525,0.556,12.9,2.1,2.5,0.9,0.5,1.2,15,15.3,17.4,6.9,108.4,118.8"
",Dario Saric,Sac,*,F-C,31.7,3,9.2,10.6,15.5,2,1,3,0,2,0.5,0.3,0.425,1.7,1.7,0.7,0,0,0.3,3.3,2.3,4,5.5,97.5,126.6"
",Russell Westbrook,Sac,*,G,37.1,25,28.7,24.1,21.6,66,0.652,169,0.491,128,0.367,0.517,0.537,14,6.8,7.2,1.3,0.2,3.3,20.8,21.2,28,12.3,105.8,113.9"
",Keon Ellis,Sac,*,G,25.9,24,16.9,13.4,8.3,19,0.526,29,0.483,81,0.37,0.536,0.541,5.3,1.3,0.7,1.2,0.4,0.4,6.6,6,7.3,4,105.7,114.3"
",Dylan Cardwell,Sac,*,C,24,3,10.8,11.6,24.3,2,0.5,5,0.4,1,0,0.333,0.363,1.7,1.7,0,0.7,1,0.7,3.3,1.7,3.3,0,71.5,90.8"
",Dillon Brooks,Pho,*,G-F,29.9,19,31.1,29.9,11.1,80,0.825,204,0.534,139,0.309,0.506,0.546,21.7,3.1,1.8,1.4,0.1,2.3,24.8,23.6,26.6,6.4,106.8,109.3"
",Ryan Dunn,Pho,*,F,22.9,20,23.2,14.4,12.5,18,0.667,80,0.563,53,0.302,0.519,0.532,7.5,5,1.9,1.4,0.6,1,12.5,9.4,14.3,7.1,116.3,106.9"
",Oso Ighodaro,Pho,*,F,23.4,25,17.5,13,23.2,26,0.385,95,0.6,1,0,0.594,0.577,5,3.6,1.7,0.7,0.6,1.2,8.6,6.7,10.3,7.1,107.9,103.7"
",Grayson Allen,Pho,*,G,30.2,17,30.8,21.4,11.6,41,0.78,78,0.5,143,0.399,0.563,0.588,16.5,2.8,3.9,1.6,0.2,1.7,19.3,20.5,23.2,7.3,119.1,112.3"
",Devin Booker,Pho,*,G,29.1,22,34.7,30.2,17.3,175,0.874,268,0.522,124,0.315,0.506,0.586,25,4.3,6.7,0.9,0.4,3.7,29.3,31.7,36,10.3,117.2,112.9"
",Collin Gillespie,Pho,*,G,26.5,25,27.1,19.9,14.5,30,0.867,95,0.453,169,0.426,0.572,0.592,13.1,3.8,4.8,1.2,0.3,1.8,17,17.9,21.7,9.2,121.3,115.5"
",Mark Williams,Pho,*,C,24,21,24.8,17.6,11.9,79,0.759,162,0.648,1,1,0.653,0.69,13,8.4,1.1,1.4,0.8,1,21.4,14.1,22.5,8,140.2,105"
",Royce O'Neale,Pho,*,F,32.5,25,29.8,14.6,14.8,10,0.7,41,0.488,177,0.407,0.587,0.591,10.5,5.3,2.9,1.3,0.2,1.5,15.8,13.4,18.8,7.3,115.8,110.5"
",Nigel Hayes-Davis,Pho,*,F,31,18,9.1,11.4,13.6,2,0.5,24,0.458,14,0.071,0.329,0.334,1.4,1.3,0.3,0.4,0.1,0.3,2.7,1.8,3.1,3.6,81.1,112.8"
",Nick Richards,Pho,*,C,28,23,9.7,17.8,26.7,28,0.679,60,0.517,0,0,0.517,0.56,3.5,3.3,0.3,0.1,0.5,1,6.9,3.9,7.2,6.2,103.9,103.1"
",Jaden McDaniels,Min,*,F,25.2,24,32.6,18.8,13.9,54,0.833,194,0.562,84,0.44,0.592,0.62,15.6,4.8,2.6,1.2,1,1.9,20.3,18.2,23,7.1,118.6,107.5"
",Julius Randle,Min,*,F-C,31,25,33.7,26.8,15.2,177,0.836,261,0.567,124,0.355,0.556,0.622,23,7.2,5.9,0.9,0.2,2.8,30.2,29,36.1,11.8,124.9,109.6"
",Rudy Gobert,Min,*,C,33.5,25,31.5,12.9,18.3,94,0.543,161,0.745,0,0,0.745,0.719,11.6,10.2,1.8,0.5,1.4,1.4,21.9,13.5,23.7,7.6,140.6,106.4"
",Anthony Edwards,Min,*,G,24.4,20,34.3,31.4,13.2,144,0.833,225,0.56,161,0.416,0.587,0.638,28.7,4.9,3.8,1.2,0.8,3,33.6,32.5,37.4,9.5,120.3,112.1"
",Donte DiVincenzo,Min,*,G,28.9,25,31.3,17.1,11.3,54,0.833,60,0.533,199,0.382,0.564,0.596,13.5,4,3.7,1,0.4,1.3,17.5,17.2,21.2,7.5,122.5,111.2"
",Naz Reid,Min,*,C-F,26.3,25,26,21.7,11,32,0.75,129,0.543,154,0.383,0.56,0.574,13.6,5.9,2.5,1,0.8,1.4,19.6,16.2,22.1,9,114.9,105.9"
",Terrence Shannon Jr.,Min,*,G-F,25.4,16,14.1,16.2,18.6,25,0.76,36,0.417,25,0.4,0.492,0.549,4.9,1.7,0.9,0.4,0.1,0.9,6.6,5.8,7.5,5.6,104.4,107.1"
",Mike Conley,Min,*,G,38.2,24,19.1,12.3,14.9,29,0.931,31,0.355,71,0.366,0.49,0.553,5.3,1.8,3.2,0.6,0.1,0.8,7.1,8.5,10.3,6.5,124.2,110.5"
",Jaylen Clark,Min,*,G,24.2,23,14.9,13,6.5,30,0.6,42,0.524,44,0.341,0.517,0.539,4.7,2.2,0.5,0.8,0.1,0.3,6.9,5.2,7.4,4.6,122.1,106.4"
",Deni Avdija,Por,*,F,24.9,25,34.2,27.8,18,237,0.806,243,0.539,163,0.374,0.548,0.623,25.4,7.2,6.2,0.7,0.7,3.6,32.6,31.7,38.8,12.2,122.4,111.9"
",Toumani Camara,Por,*,F,25.6,25,33.4,16.1,15.9,41,0.707,93,0.559,176,0.341,0.528,0.545,12.5,5.3,2.8,1,0.6,2,17.8,15.4,20.6,6.8,109.9,113.2"
",Donovan Clingan,Por,*,C,21.8,21,25.2,15.3,9.2,42,0.81,110,0.609,58,0.241,0.524,0.563,10,10.2,1.7,0.6,1.4,0.8,20.2,11.7,21.9,8.9,132.3,109.5"
",Shaedon Sharpe,Por,*,G,22.5,21,28.3,31.4,14,109,0.78,236,0.53,127,0.283,0.493,0.539,21.1,4.7,2.3,1.3,0.2,2.8,25.8,23.4,28,8.6,104.8,113.3"
",Jrue Holiday,Por,*,G,35.5,12,33.4,21,17.4,25,0.84,81,0.531,85,0.365,0.539,0.565,16.7,5.3,8.2,1.6,0.3,2.9,21.9,24.8,30.1,10.8,118,115.8"
",Jerami Grant,Por,*,F,31.8,24,29.8,24.3,13.6,157,0.86,174,0.471,144,0.382,0.517,0.599,19.3,3.9,2.6,0.8,0.6,2.1,23.2,21.9,25.8,7.8,120.3,113.4"
",Yang Hansen,Por,*,C,20.5,13,7.7,21.1,18.2,10,0.9,24,0.458,16,0.063,0.313,0.383,2.6,1.8,0.8,0,0.4,0.7,4.4,3.4,5.2,8.1,84.8,109.1"
",Blake Wesley,Por,*,G,22.7,6,16.4,18.4,17,10,0.6,24,0.5,10,0.2,0.441,0.469,6,2.3,3.2,1.7,0.2,1.2,8.3,9.2,11.5,8.6,103.3,104.1"
",Kris Murray,Por,*,F,25.3,23,24.9,10,16.3,22,0.682,66,0.576,47,0.255,0.496,0.518,5.5,4,1.1,1.2,0.3,1,9.6,6.6,10.7,4.6,110.6,114.5"
",Matisse Thybulle,Por,*,G-F,28.8,4,12.2,10.4,8.7,4,1,4,0.5,6,0.667,0.8,0.85,5,1,0.8,2.5,0,0.3,6,5.8,6.8,5.2,163.7,100"
",Bones Hyland,Min,*,G,25.2,16,8.7,19.3,19.3,4,0.75,18,0.722,32,0.406,0.65,0.657,4.3,1,1.4,0.4,0,0.8,5.3,5.7,6.7,8.4,117.9,105.4"
",Ousmane Dieng,Okc,*,F,22.6,17,12.5,14.1,8.9,6,1,29,0.448,32,0.438,0.557,0.581,4.4,1.8,0.9,0.1,0.3,0.4,6.1,5.2,7,6.2,118.9,103.1"
",Branden Carlson,Okc,*,C,26.5,17,10,17.6,6,7,0.429,32,0.719,30,0.4,0.661,0.653,5,2.2,0.6,0.1,0.6,0.2,7.2,5.6,7.8,7.5,130.6,99.6"
",Aaron Nesmith,Ind,*,G-F,26.2,11,30.4,21.4,5.1,39,0.795,64,0.359,83,0.373,0.473,0.518,15.5,4.5,1.5,0.8,0.3,0.7,19.9,17,21.5,6.2,111.7,114.3"
",Pascal Siakam,Ind,*,F,31.7,24,34.2,28.9,10.3,165,0.685,331,0.52,115,0.365,0.527,0.562,24.3,7,4,1.3,0.5,2.1,31.3,28.3,35.3,10.3,113.9,111.6"
",Isaiah Jackson,Ind,*,F,23.9,25,18.6,16.2,19.1,56,0.768,127,0.591,0,0,0.591,0.636,7.7,5.8,0.8,0.8,0.8,1.2,13.5,8.6,14.3,7.1,123.7,101.2"
",Bennedict Mathurin,Ind,*,G-F,23.5,14,32.6,24.8,16.6,86,0.837,105,0.476,90,0.422,0.549,0.614,20.4,5.6,2.3,0.7,0.2,2.8,26,22.7,28.3,7.9,112,111.8"
",Andrew Nembhard,Ind,*,G-F,25.9,17,31.3,24.2,14.7,87,0.851,148,0.473,83,0.361,0.498,0.564,17.9,2.3,6.6,0.9,0.2,2.4,20.2,24.5,26.8,8.3,115.3,115.7"
",Obi Toppin,Ind,*,F,27.8,3,27.4,23.3,14.1,9,1,19,0.632,17,0.176,0.458,0.526,14,6.7,1.7,1,0,2,20.7,15.7,22.3,7.9,101.2,109.8"
",Taelon Peter,Ind,*,G,23.8,15,7.1,15.8,23.5,5,0.8,2,0.5,27,0.222,0.345,0.385,1.6,1.1,0.9,0.1,0.1,0.6,2.7,2.5,3.6,6.6,83,116.8"
",Ben Sheppard,Ind,*,G,24.4,22,24.9,12.9,9.2,19,0.789,59,0.475,88,0.273,0.435,0.46,6.5,4.1,2,0.6,0.1,0.7,10.6,8.5,12.5,6,102.7,113.5"
",Jay Huff,Ind,*,C,28.3,25,19.2,16.7,9.5,33,0.788,49,0.653,112,0.321,0.534,0.564,7.9,3.7,1.3,0.3,2.5,0.7,11.6,9.2,12.9,7,117.2,109.2"
",Jarace Walker,Ind,*,F,22.3,25,25.7,19.3,18.1,60,0.817,107,0.383,115,0.313,0.428,0.481,9.6,5,2.1,0.6,0.4,2,14.5,11.7,16.6,7.2,92.5,113.5"
",Tony Bradley,Ind,*,C-F,27.9,22,11.7,15.2,11.1,29,0.724,71,0.592,1,0,0.583,0.619,4.8,2.6,0.6,0.1,0.2,0.4,7.4,5.4,8,6.7,132.9,105"
",Johnny Furphy,Ind,*,G,21,7,11.6,9.7,26.3,0,0,6,0.333,8,0.375,0.464,0.464,1.9,1.7,0.1,0.6,0,0.7,3.6,2,3.7,2.4,74.6,109"
",Cameron Johnson,Den,*,F,29.8,23,30.1,15.3,11.4,49,0.796,97,0.526,104,0.385,0.552,0.586,11.3,3.4,2.2,0.7,0.3,1.1,14.7,13.6,17,5.8,118.9,113.5"
",Aaron Gordon,Den,*,F,30.2,13,28.3,23,10.4,60,0.867,91,0.593,63,0.444,0.623,0.676,18.8,5.9,1.3,0.8,0.2,1.4,24.7,20.1,26,7.4,131.3,112.5"
",Nikola Jokic,Den,*,C,30.8,24,34.6,29.2,16.5,173,0.85,292,0.702,118,0.424,0.683,0.727,29.5,12.3,10.9,1.4,0.7,3.4,41.7,40.3,52.6,18.3,145.3,106.5"
",Christian Braun,Den,*,G,24.7,11,29.6,16.3,12.6,29,0.793,69,0.609,28,0.214,0.526,0.569,11.4,4.4,3,0.8,0.3,1.3,15.7,14.4,18.7,7.2,121.9,113.2"
",Jamal Murray,Den,*,G,28.8,23,34.6,26.9,11.5,91,0.89,243,0.539,165,0.442,0.589,0.627,24.4,4.4,6.9,1.1,0.3,2.3,28.9,31.3,35.7,10.5,126.5,115.3"
",Tim Hardaway Jr.,Den,*,G-F,33.7,24,24.9,17.2,3.1,41,0.878,75,0.547,140,0.414,0.595,0.627,12.2,2.1,1.5,0.5,0.1,0.3,14.3,13.7,15.8,5.4,131,117.3"
",Bruce Brown,Den,*,G-F,29.3,24,23.6,13.7,13.9,36,0.806,102,0.461,40,0.325,0.468,0.513,6.8,3.7,2,0.8,0.3,1,10.4,8.8,12.4,6.3,111.8,109.6"
",Peyton Watson,Den,*,G,23.3,24,27,16.3,13.9,56,0.714,124,0.565,67,0.388,0.571,0.598,10.8,5,1.7,0.9,1.2,1.3,15.8,12.4,17.4,6.7,117.7,110.6"
",Jonas Valanciunas,Den,*,C,33.6,24,12.8,25.9,14.5,46,0.739,131,0.611,10,0.3,0.599,0.629,8.5,4.7,1.3,0.2,0.5,1,13.1,9.7,14.4,11.7,124,101.3"
",Spencer Jones,Den,*,F,24.5,20,16.2,9.9,17.3,14,0.643,26,0.731,31,0.452,0.702,0.705,4.5,2.1,0.7,0.6,0.2,0.6,6.6,5.2,7.3,4.6,136,106.5"
",N'Faly Dante,Atl,*,C,24.2,4,3.9,14.9,18.4,1,1,4,0.25,0,0,0.25,0.338,0.8,1.8,0,0.5,0,0.3,2.5,0.8,2.5,0,0,0"
",Vit Krejci,Atl,*,G,25.5,22,23.8,14.7,11.4,16,0.688,32,0.656,123,0.455,0.677,0.682,10,2.3,1.8,0.8,0.3,0.9,12.3,11.9,14.1,5.8,123.3,112.3"
",Asa Newell,Atl,*,F,20.2,16,9,18.2,10.5,12,0.75,27,0.63,24,0.5,0.686,0.702,4.9,1.6,0.4,0.4,0.3,0.4,6.6,5.4,7,6.5,135.2,108.3"
",Jett Howard,Orl,*,G,22.2,16,10.2,19.2,2.7,5,1,25,0.56,46,0.37,0.556,0.574,5.3,1.1,0.7,0.1,0.2,0.1,6.4,5.9,7.1,6.3,122.4,110.8"
",Baylor Scheierman,Bos,*,G,25.2,21,11.9,9.3,14.7,1,1,10,0.8,36,0.472,0.728,0.732,3.2,1.9,0.7,0.5,0.1,0.4,5.1,4,5.8,5.4,137,108.1"
",Hugo Gonzalez,Bos,*,G,19.9,20,11.5,13.2,16.1,7,0.429,36,0.528,21,0.476,0.596,0.591,3.6,2.1,0.6,0.7,0.2,0.6,5.6,4.1,6.2,5.8,114.5,102.7"
",Jordan Walsh,Bos,*,G,21.8,21,21.5,11.9,10.4,22,0.818,64,0.672,39,0.487,0.694,0.714,7.7,5,1,1.2,0.6,0.6,12.6,8.7,13.7,6.3,146.9,103.2"
",Amari Williams,Bos,*,F-C,23.9,6,5.2,4,0,2,0.5,2,0.5,0,0,0.5,0.521,0.5,1.2,0.2,0.2,0.3,0,1.7,0.7,1.8,3.8,149.9,104.8"
",Josh Hart,Nyk,*,G,30.8,23,29.6,16.8,18.5,45,0.822,114,0.605,93,0.398,0.601,0.631,12.4,7.8,5,1.3,0.3,2,20.3,17.4,25.2,10.6,127.1,105.7"
",Chaz Lanier,Det,*,G,24,13,10.3,13.6,2.3,3,1,5,0.4,37,0.324,0.476,0.496,3.3,1.1,0.8,0.3,0,0.1,4.4,4.1,5.2,5.5,122.2,117.5"
",Daniss Jenkins,Det,*,G,24.3,20,17.6,21,16.7,33,0.758,90,0.5,49,0.347,0.507,0.541,8.3,1.9,3.4,1,0.1,1.4,10.2,11.7,13.6,8.6,112.9,109.9"
",Keshad Johnson,Mia,*,F,24.5,9,11.7,16.6,7.8,11,0.636,20,0.4,15,0.267,0.4,0.439,3.9,3.1,0.1,0.3,0.4,0.3,7,4,7.1,3.6,98.5,105.5"
",Jahmir Young,Mia,*,G,25.2,5,4.9,21.8,15.4,0,0,6,0.333,5,0.4,0.455,0.455,2,0.4,0.8,0.2,0,0.4,2.4,2.8,3.2,7,89.6,105.3"
",PJ Hall,Mem,*,C,23.8,7,3.8,17.6,9.7,3,0.667,6,0.667,3,0.333,0.611,0.63,1.9,1.3,0.3,0,0.3,0.1,3.1,2.1,3.4,9.5,0,0"
",GG Jackson,Mem,*,F,21,8,6.8,26,6.6,9,0.667,16,0.438,12,0,0.25,0.313,2.5,1.8,0.3,0.5,0.1,0.3,4.3,2.8,4.5,6.5,73.8,105.1"
",Jose Alvarado,Nor,*,G,27.7,25,22.5,17,15.4,18,0.833,70,0.543,117,0.376,0.556,0.572,8.9,2.9,3.3,1,0.1,1.4,11.8,12.2,15.1,7.8,112.8,116.2"
",Rob Dillingham,Min,*,G,20.9,22,10.4,22.9,18.6,13,0.692,74,0.378,22,0.273,0.385,0.408,3.8,1.1,1.9,0.7,0.1,1,4.9,5.6,6.7,7.7,87.8,107.3"
",Joan Beringer,Min,*,F,19.1,9,4.1,16.3,15,3,0.667,11,0.727,0,0,0.727,0.731,2,1.3,0,0.1,0.2,0.2,3.3,2,3.3,0,124.7,88.2"
",Joe Ingles,Min,*,F-G,38.2,8,2.9,3.7,0,0,0,0,0,2,0,0,0,0,0,0.8,0.1,0,0,0,0.8,0.8,0,0,0"
",Leonard Miller,Min,*,F,22,9,4.3,20.1,24.6,5,0.6,7,0.857,5,0,0.5,0.528,1.7,1.2,0.4,0.2,0,0.4,2.9,2.1,3.3,8.7,94.7,93.6"
",Johnny Juzang,Min,*,G,24.7,8,2.8,20.8,9.8,2,0.5,2,0.5,7,0.286,0.444,0.455,1.1,0.4,0.1,0,0,0.1,1.5,1.3,1.6,5,0,0"
",Dalton Knecht,Lal,*,F,24.7,20,15.1,16.8,7.3,15,0.667,44,0.614,58,0.362,0.574,0.585,6.4,1.9,0.6,0.4,0.4,0.4,8.2,7,8.8,5.1,117,112.6"
",Bronny James,Lal,*,G,21.2,14,9,14.9,25.9,2,1,17,0.353,14,0.286,0.387,0.408,1.9,0.6,1.5,0.6,0.1,0.8,2.5,3.4,4,5.3,90.2,110.3"
",Christian Koloko,Lal,*,C,25.5,2,3.2,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0.5,0,0,0"
",Moses Moody,Gol,*,G,23.5,24,24.8,19.1,11.4,53,0.83,70,0.457,147,0.388,0.541,0.58,11.6,3.3,1.5,1,0.7,1.2,14.9,13.1,16.3,6.2,113.2,108.9"
",Trayce Jackson-Davis,Gol,*,F,25.8,16,12.8,14.5,13.5,26,0.654,51,0.549,0,0,0.549,0.585,4.6,3.4,1.1,0.3,0.7,0.5,8,5.6,9.1,8.1,129.8,105.5"
",Pat Spencer,Gol,*,G,29.4,18,16.5,20.2,12.7,20,0.9,83,0.47,33,0.424,0.517,0.553,7.7,2.6,3.3,0.7,0.1,0.9,10.2,10.9,13.5,9.8,119.9,107.8"
",Rayan Rupert,Por,*,G-F,21.5,18,8.6,13.4,17.9,4,0.5,21,0.429,20,0.3,0.439,0.444,2.1,1.8,0.4,0.4,0.1,0.5,3.9,2.5,4.3,5.3,88.3,107.2"
",Duop Reath,Por,*,C,29.5,20,8.4,14,10.3,3,0.667,14,0.571,38,0.5,0.702,0.703,3.8,1,0.3,0.2,0.2,0.3,4.7,4.1,5,5,130.2,114.1"
",Isaac Jones,Sac,,F,25.4,3,5.6,7.2,0,2,0.5,1,1,1,0,0.5,0.521,1,0.7,0.3,0,0,0,1.7,1.3,2,4.2,147.6,105"
