"RANK,NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg"
",Domantas Sabonis,Sac,*,F-C,29.6,11,33.2,22.7,16.2,51,0.725,125,0.56,20,0.2,0.524,0.564,17.2,12.3,3.7,1.2,0.2,2.5,29.5,20.9,33.2,11.1,113.3,107.7"
",Rasheer Fleming,Pho,*,F,21.4,13,5.9,20.1,8.5,5,1,14,0.5,18,0.222,0.406,0.453,2.4,1.2,0.2,0.3,0.2,0.2,3.5,2.5,3.7,5.6,102.5,107.4"
",Jordan Goodwin,Pho,*,G,27.1,22,20.5,19.2,12.4,12,0.75,95,0.495,81,0.37,0.523,0.532,8.8,4.2,2,1.5,0.1,1.1,13,10.8,15,8.2,113.5,110.3"
",Khaman Maluach,Pho,*,C,19.2,12,4.9,15.3,27.2,8,0.875,9,0.556,4,0,0.385,0.515,1.4,1,0.2,0,0.3,0.4,2.4,1.6,2.6,5.3,92.1,102.2"
",Julian Phillips,Chi,*,F,22.1,22,10.1,11.2,3.5,6,0.833,25,0.6,30,0.3,0.518,0.538,2.8,1.4,0.3,0.5,0.2,0.1,4.2,3.1,4.5,4.2,123.8,112.7"
",Jase Richardson,Orl,*,G,20.2,14,6.7,18.8,10.4,9,0.778,20,0.55,14,0.429,0.588,0.619,3.4,0.9,0.9,0.2,0,0.3,4.3,4.3,5.2,8.4,128.5,108.6"
",Jacob Toppin,Atl,*,F,25.6,5,3.4,15,0,0,0,6,0.667,0,0,0.667,0.667,1.6,0.4,0.2,0,0.2,0,2,1.8,2.2,5.9,0,0"
",Caleb Houstan,Atl,*,G,22.9,8,5.4,18,22.9,3,1,3,0.333,10,0.5,0.654,0.698,2.5,0.6,0.3,0.1,0.1,0.5,3.1,2.8,3.4,5.7,116.7,112"
",Mason Plumlee,Cha,*,F-C,35.8,10,9.4,7.5,48.9,11,0.636,6,0.833,0,0,0.833,0.784,1.7,2.9,1.1,0.4,0,0.6,4.6,2.8,5.7,7.5,131.2,111.5"
",James Wiseman,Ind,*,C,24.7,1,19.9,12.6,50,0,0,3,0.667,0,0,0.667,0.667,4,4,0,0,1,3,8,4,8,0,90,116.5"
",RayJ Dennis,Ind,*,G,24.7,13,12.9,22.3,16.2,9,0.889,34,0.294,38,0.316,0.389,0.421,4.9,1.6,2,0.2,0.3,1.1,6.5,6.9,8.5,7.8,91.3,113.8"
",Isaiah Livers,Pho,*,F,27.4,13,12.2,9.7,14.5,6,0.833,5,0.6,24,0.292,0.466,0.506,2.5,2.2,0.4,0.5,0.3,0.4,4.6,2.8,5,4.3,108.5,110.3"
",Jalen Pickett,Den,*,G,26.1,11,8.8,13.9,19.1,1,1,10,0.5,15,0.4,0.56,0.57,2.6,1.5,1.3,0.3,0,0.5,4.1,3.9,5.4,7.8,114.5,113"
",Julian Strawther,Den,*,G,23.7,9,7.9,23.3,9,13,0.692,14,0.643,16,0.125,0.4,0.462,3.7,1.6,0.4,0,0.1,0.3,5.2,4.1,5.7,6.7,95.6,110.5"
",Zeke Nnaji,Den,*,F-C,24.9,14,8.3,11.8,23.9,7,0.714,11,0.818,11,0.273,0.614,0.638,2.3,1.5,0.2,0.3,0.2,0.5,3.8,2.5,4,4.3,107,103.2"
",DaRon Holmes II,Den,*,F,23.3,2,2.2,9.7,0,0,0,0,0,1,1,1.5,1.5,1.5,0,0,0,0,0,1.5,1.5,1.5,0,0,0"
",Mark Sears,Mil,*,G,23.8,7,3.7,34.6,23.1,8,0.75,5,0.4,8,0.5,0.615,0.666,3.1,0.3,0.3,0,0,0.6,3.4,3.4,3.7,7.1,0,0"
",De'Andre Hunter,Cle,*,F-G,28,22,28.7,22.4,11.4,81,0.84,131,0.573,142,0.31,0.516,0.567,15.9,4.3,2.4,0.7,0.2,1.6,20.2,18.3,22.6,7.6,112.9,109.3"
",Liam McNeeley,Cha,*,F,20.2,18,14.1,14.3,13.1,23,0.826,22,0.364,44,0.409,0.53,0.585,4.9,2.4,0.9,0.2,0.1,0.6,7.4,5.8,8.3,6.2,118.4,110.1"
",Pat Connaughton,Cha,*,G,32.9,12,9.7,15.9,7.4,9,0.667,13,0.692,24,0.375,0.608,0.623,4.3,1.9,0.6,0.4,0.1,0.3,6.2,4.8,6.8,7,127,115.5"
",Quenton Jackson,Ind,*,G,27.2,5,20.1,21.1,13.9,18,0.722,25,0.56,12,0.5,0.622,0.657,11.8,3.4,3.6,1,0.2,1.2,15.2,15.4,18.8,10.4,131.7,110.2"
",Collin Murray-Boyles,Tor,*,F,20.5,21,17.6,16.3,19.5,32,0.625,78,0.577,25,0.48,0.612,0.624,7,3.3,1.3,0.6,0.3,1.2,10.2,8.3,11.6,7.1,118.5,105.9"
",Miles Kelly,Dal,*,G,22.9,2,5.7,11.2,33.3,0,0,1,1,1,0,0.5,0.5,1,2,0,0,0,0.5,3,1,3,0,81.2,96.6"
",Bogdan Bogdanovic,Lac,*,G,33.3,11,25.3,16.8,13.1,17,0.882,32,0.469,54,0.352,0.506,0.546,9.3,3.4,3.1,0.7,0.1,1.2,12.6,12.4,15.7,7.3,111.5,112.4"
",Chris Manon,Lal,*,G,24,2,3.5,6.2,0,0,0,0,0,1,0,0,0,0,1,0,0,0.5,0,1,0,1,0,0,0"
",Devin Carter,Sac,*,G,23.7,9,9.5,20.8,20.3,7,1,14,0.357,17,0.294,0.403,0.469,3.6,1.4,1.4,0.7,0.1,0.9,5,5,6.4,8.1,95.3,112.3"
",Luke Travers,Cle,*,F,24.3,11,8.9,16.9,5.5,9,1,18,0.333,16,0.063,0.221,0.316,2.2,1.9,0.8,0.5,0.4,0.2,4.1,3,4.9,6.7,92.3,112"
",Thomas Bryant,Cle,*,C-F,28.4,19,7.8,17.7,7,15,0.733,28,0.643,25,0.2,0.481,0.52,3.3,2.2,0.2,0.3,0.3,0.2,5.4,3.5,5.6,5.8,112.1,102.5"
",Colby Jones,Det,*,G,23.5,1,6.8,18,0,0,0,1,1,2,0,0.333,0.333,2,4,2,0,0,0,6,4,8,14.8,106.1,87.6"
",Bobi Klintman,Det,*,F,22.8,6,8.8,21.1,19.2,3,0,10,0.4,11,0.273,0.405,0.381,2.8,2.7,0.7,0.3,0,0.8,5.5,3.5,6.2,7.9,82,95.9"
",Tolu Smith,Det,*,F,25.4,2,11.2,22.1,10.7,7,0.714,8,0.75,0,0,0.75,0.767,8.5,5.5,1,0.5,0.5,0.5,14,9.5,15,12.9,156.3,100.6"
",Noah Penda,Orl,*,G-F,20.9,13,8.7,17.2,16.6,11,0.636,25,0.44,10,0.6,0.571,0.59,3.6,3.2,1.1,0.1,0.2,0.5,6.8,4.7,7.9,10.7,130.6,104.4"
",Eric Gordon,Phi,*,G,37,5,11.3,11.8,18.8,0,0,5,0.6,8,0.625,0.808,0.808,4.2,0.4,0.6,0.6,0,0.6,4.6,4.8,5.2,3.5,128,117.1"
",Hunter Sallis,Phi,*,G,22.7,6,4.2,18.2,48.9,2,0.5,5,0.6,0,0,0.6,0.595,1.2,0.2,0.7,0,0.2,0.8,1.3,1.8,2,5.3,75.3,114.4"
",Tyson Etienne,Bro,*,G,20,8,4.3,20,6.3,0,0,2,0,13,0.308,0.4,0.4,1.5,0,0.1,0,0,0.1,1.5,1.6,1.6,0,81.3,113.2"
",E.J. Liddell,Bro,*,F,25,7,4.6,17.8,0,3,0.667,4,0.75,8,0.25,0.5,0.526,2,1.3,0,0,0,0,3.3,2,3.3,0,119.8,109.9"
",JD Davison,Hou,*,G,23.2,11,6.7,10.5,5.6,2,0,8,0.5,9,0.444,0.588,0.559,1.8,0.4,0.9,0.3,0.1,0.1,2.2,2.7,3.1,5.2,136.3,113.4"
",Aaron Holiday,Hou,*,G,29.2,17,17.1,19.6,12.7,29,0.862,36,0.472,74,0.446,0.605,0.644,9.3,1,1.1,0.5,0.2,0.9,10.3,10.4,11.4,5.1,128.2,110.8"
",Jae'Sean Tate,Hou,*,F,30.1,14,8.3,13,11,2,1,20,0.6,12,0.417,0.609,0.623,2.9,1.6,0.5,0.3,0,0.3,4.5,3.4,5,6.4,131.9,98.2"
",Jeff Green,Hou,*,F,39.3,10,4.8,13.8,0,0,0,4,0.75,12,0.417,0.656,0.656,2.1,0.4,0.1,0,0.1,0,2.5,2.2,2.6,3.6,147.9,111.6"
",Ron Harper Jr.,Bos,*,G-F,25.7,4,5.1,21.3,0,0,0,2,0.5,8,0.25,0.4,0.4,2,0.8,1,0.3,0.5,0,2.8,3,3.8,9.2,114.6,110"
",DeAndre Jordan,Nor,*,C,37.4,2,11.7,12.3,16.1,2,0.5,5,0.8,0,0,0.8,0.765,4.5,5,0,0,0,0.5,9.5,4.5,9.5,0,144.8,119.6"
",Micah Peavy,Nor,*,G-F,24.4,22,16.1,15,7.4,14,0.714,77,0.494,35,0.2,0.433,0.453,4.9,2.5,1.1,0.6,0.1,0.4,7.3,6,8.4,5.9,105.5,115.9"
",Karlo Matkovic,Nor,*,F-C,24.7,16,10.9,14,12.7,8,0.375,38,0.763,10,0.5,0.76,0.738,4.8,2.7,0.9,0.1,0.6,0.4,7.4,5.6,8.3,8.3,136.2,112.2"
",Bryce McGowens,Nor,*,G,23.1,16,18.2,16.2,5.2,40,0.775,62,0.516,28,0.536,0.606,0.651,8.8,2.1,1.6,0.5,0.3,0.3,10.9,10.3,12.4,6.8,136.2,118.7"
",Ja'Kobe Walter,Tor,*,G,21.3,23,16.6,14.2,13.2,16,0.75,37,0.459,68,0.397,0.548,0.567,5.5,2,0.8,1,0.1,0.7,7.6,6.3,8.3,5,110.2,106.2"
",Hunter Tyson,Den,*,F,25.5,9,3.9,16.9,0,2,1,6,0.167,7,0.286,0.308,0.36,1.1,1.3,0.3,0.1,0,0,2.4,1.4,2.8,7.7,0,0"
",Caleb Love,Por,*,G,24.2,17,18.2,22.4,8.9,15,0.8,60,0.467,93,0.247,0.408,0.429,8.1,2.6,2.1,0.4,0,0.9,10.7,10.1,12.8,7.8,98,116.8"
",Sidy Cissoko,Por,*,G,21.7,20,19.1,12.6,16.8,19,0.684,41,0.561,53,0.34,0.532,0.552,5.7,2.3,1.3,0.5,0.2,1,7.9,7,9.2,5.4,109.1,111"
",Nick Smith Jr.,Lal,*,G,21.7,9,14.8,22.7,16.3,6,0.667,27,0.444,29,0.483,0.589,0.597,7.8,1.1,1.6,0.9,0.2,1.2,8.9,9.3,10.4,6.5,106.7,116.4"
",Trendon Watford,Phi,*,G-F,25.1,14,20.4,17.9,19.2,30,0.8,70,0.571,18,0.389,0.574,0.618,8.9,4.7,3.6,0.4,0.2,1.5,13.6,12.5,17.2,10.4,122.6,103.2"
",Jamir Watkins,Was,*,F,24.4,8,12.1,9.8,14,4,1,9,0.778,9,0.444,0.722,0.759,3.8,2.4,0.5,0,0.4,0.4,6.1,4.3,6.6,5.5,139.9,115.7"
",Myron Gardner,Mia,*,F,24.6,4,2.4,8.7,0,0,0,0,0,2,1,1.5,1.5,1.5,0.5,0.3,0,0,0,2,1.8,2.3,10.1,0,0"
",Mohamed Diawara,Nyk,*,F,20.6,17,3.3,15.1,26.3,2,0,8,0.375,6,0.333,0.429,0.403,0.7,0.6,0.5,0.2,0.1,0.3,1.4,1.2,1.8,7.2,0,0"
",Jahmyl Telfort,Lac,*,G,24.6,8,4,9.3,19.6,4,0.25,0,0,4,0,0,0.087,0.1,0.4,0.1,0.1,0,0.1,0.5,0.3,0.6,1.6,26.2,107.3"
",Elijah Harkless,Uta,*,G,25.9,7,9.4,11.2,20.9,9,0.778,4,0.5,7,0.286,0.455,0.568,2.4,0.9,0.7,0.6,0,0.4,3.3,3.1,4,4.9,114.7,109.2"
",Mac McClung,Ind,*,G,26.9,3,11.3,26.7,9.8,4,0.75,8,0.625,10,0.2,0.444,0.481,6.3,1.3,0.3,1.7,0.3,0.7,7.7,6.7,8,4.8,91,96.3"
",Orlando Robinson,Orl,*,C,25.4,3,7.2,9.6,0,0,0,3,0.667,2,0.5,0.7,0.7,2.3,1,0.7,0.3,0,0,3.3,3,4,6.5,165,102.6"
",Bilal Coulibaly,Was,*,G,21.4,12,27.1,16.5,19.4,35,0.771,50,0.46,41,0.268,0.434,0.498,8.8,4,3,1.3,1,1.8,12.8,11.8,15.8,7,99.1,118.3"
",Isaiah Joe,Okc,*,G,26.4,17,23.3,19.7,9.8,39,0.923,30,0.6,117,0.419,0.622,0.667,12.9,2.8,1.5,0.6,0.2,0.9,15.7,14.4,17.2,6.5,127.5,103.4"
",Mitchell Robinson,Nyk,*,C-F,27.7,16,17.5,9.5,25,25,0.2,39,0.667,0,0,0.667,0.57,3.6,8.2,1.1,0.8,0.9,0.8,11.8,4.6,12.8,7.3,139.9,99.2"
",Vince Williams Jr.,Mem,*,G,25.3,20,21.9,19.9,22.7,28,0.786,68,0.426,85,0.271,0.415,0.451,7.5,4.4,5.1,0.9,0.6,2.3,11.8,12.6,16.9,10.1,96.3,106.2"
",Kyle Anderson,Uta,*,F-G,32.2,8,18.3,16.4,13.4,15,0.733,44,0.523,1,1,0.544,0.581,7.5,2.8,3.3,1.5,0.4,0.9,10.3,10.8,13.5,9,124.8,109"
",Robert Williams III,Por,*,C-F,28.2,15,15.3,11.9,9.1,7,0.429,52,0.75,8,0.125,0.675,0.666,5.6,5.5,0.7,0.6,1.7,0.4,11.1,6.3,11.8,7.3,140.9,110"
",Daniel Gafford,Dal,*,F-C,27.2,15,22.9,15,20.3,43,0.791,82,0.61,0,0,0.61,0.664,8.9,6.4,1.3,0.9,1.4,1.4,15.3,10.2,16.6,7.3,126,103.3"
",Jeremiah Robinson-Earl,Ind,*,F,25.1,17,17.6,13.8,10.7,14,0.929,50,0.42,33,0.242,0.398,0.443,4.6,5.2,0.7,0.4,0.1,0.6,9.8,5.4,10.5,5.8,104.9,112.1"
",Kevon Looney,Nor,*,F,29.8,12,12.9,11.2,15.3,6,0.5,26,0.5,7,0.143,0.439,0.449,2.7,3.9,1.4,0.3,0.4,0.5,6.6,4.1,8,7.6,116.1,107.5"
",Johni Broome,Phi,*,F,23.4,6,6.5,25.5,9,4,0.5,17,0.235,3,0,0.2,0.23,1.7,2.2,0.7,0.3,0,0.3,3.8,2.3,4.5,8.5,73,102.1"
",Kyle Lowry,Phi,*,G,39.7,3,8.1,6.9,0,0,0,0,0,4,0.5,0.75,0.75,2,0.3,1.3,0.3,0,0,2.3,3.3,3.7,4.5,174.2,116.4"
",Kevin Love,Uta,*,F-C,37.3,15,15,16.7,13,18,0.778,20,0.65,53,0.358,0.568,0.599,6.5,4.5,1.7,0.3,0.3,0.7,11,8.2,12.7,9.8,126,111.1"
",KJ Simpson,Cha,*,G,23.3,12,15.9,21.6,20.6,14,0.643,43,0.372,30,0.367,0.445,0.467,6.2,2.4,2.4,1.1,0,1.6,8.6,8.6,11,8.3,93.5,112.3"
",Jevon Carter,Chi,*,G,30.2,14,14.3,18.4,9.5,10,1,19,0.368,57,0.421,0.566,0.597,6.9,1.4,1.2,0.8,0,0.6,8.3,8.1,9.5,6.3,117.6,115.2"
",Pacome Dadiet,Nyk,*,F,20.4,9,2.4,13.3,0,2,1,3,0.333,3,0,0.167,0.291,0.4,0.6,0.2,0,0,0,1,0.7,1.2,6.1,0,0"
",Koby Brea,Pho,*,G,23.1,2,3.9,20.8,0,2,1,1,1,2,0,0.333,0.515,2,0.5,1,0,0,0,2.5,3,3.5,10.3,0,0"
",Danny Wolf,Bro,*,F,21.6,10,16.8,21.7,19.4,18,0.833,32,0.438,30,0.5,0.589,0.629,8.8,4.2,1.7,0.2,0.3,1.5,13,10.5,14.7,9.5,114.7,115"
",Malaki Branham,Was,*,F,22.6,11,8,20.3,17.5,20,0.8,17,0.529,11,0.182,0.429,0.543,3.6,1.6,0.9,0.2,0.1,0.5,5.3,4.5,6.2,8.7,112.8,122.3"
",Charles Bassey,Mem,*,C-F,25.1,2,15.3,14,10.9,3,0.333,8,0.375,0,0,0.375,0.376,3.5,7.5,1,0.5,0.5,0.5,11,4.5,12,7.8,111.7,96.3"
",Jared McCain,Phi,*,G,21.8,15,17.8,19.9,10.5,6,0.833,51,0.412,60,0.35,0.473,0.484,7.3,1.9,1.6,0.8,0,0.9,9.2,8.9,10.8,6.3,98.4,109.9"
",Darius Garland,Cle,*,G,25.9,10,29,25,16.8,38,0.868,69,0.435,64,0.266,0.417,0.481,14.4,3,6.2,0.8,0.1,2.7,17.4,20.6,23.6,8.9,103.1,114.5"
",Nae'Qwan Tomlin,Cle,*,F,25,17,16.6,16.4,6.9,26,0.731,61,0.639,33,0.182,0.511,0.545,6.8,3.4,0.6,0.9,0.8,0.4,10.2,7.4,10.8,5.8,122,103"
",Cody Martin,Ind,*,F,30.2,4,13.8,12.6,28.1,6,0.5,5,0.4,5,0,0.2,0.277,1.8,3.5,0.5,1,0.5,1,5.3,2.3,5.8,4.2,54.9,106.2"
",Kelly Olynyk,San,*,F-C,34.7,14,11.2,16.3,21.4,21,0.762,19,0.684,21,0.333,0.588,0.64,4.5,2.5,1.7,0.4,0,0.8,7,6.2,8.7,9.6,128.1,101.6"
",Jeremy Sochan,San,*,F,22.6,17,16.3,16.5,14.8,16,0.688,61,0.607,25,0.28,0.552,0.57,6.2,3.6,1.4,0.5,0.2,0.9,9.8,7.6,11.2,7.7,117.2,102.6"
",Lindy Waters III,San,*,F,28.4,12,6.9,12.2,4.2,0,0,2,1,21,0.333,0.543,0.543,2.1,1.2,0.4,0.2,0,0.1,3.3,2.5,3.7,5.8,120.1,105.6"
",Precious Achiuwa,Sac,*,F,26.2,18,19.9,15.3,6.9,33,0.455,92,0.598,15,0.2,0.556,0.551,7.4,5.4,0.9,0.7,0.4,0.4,12.9,8.4,13.8,6.6,120.2,114.1"
",Jalen Green,Pho,*,G,23.8,2,14.9,38.2,7.9,5,0.6,9,0.556,14,0.429,0.609,0.615,15.5,2,2,1,0,1,17.5,17.5,19.5,10.6,122.2,113.3"
",Isaiah Collier,Uta,*,G,21.2,16,20.6,16.3,30.2,52,0.673,62,0.532,14,0.357,0.533,0.587,7.3,1.9,5.3,0.4,0.3,2.1,9.2,12.6,14.5,8.1,112.5,118.3"
",Maxi Kleber,Lal,*,F,33.9,10,12.1,6.8,11.5,4,0.75,7,0.429,8,0.375,0.5,0.537,1.8,1.8,0.6,0.2,0.3,0.2,3.6,2.4,4.2,4.1,127.6,107.8"
",De'Aaron Fox,San,*,G,28,16,32.7,29.8,16.3,90,0.844,173,0.543,103,0.388,0.558,0.608,24,3.8,6.3,1.4,0.3,3.4,27.8,30.3,34.1,10.2,118,111.2"
",Monte Morris,Ind,*,G,30.5,6,10.8,15.3,9,4,0.5,12,0.417,8,0.25,0.4,0.414,3,1.2,1.5,0.2,0.2,0.3,4.2,4.5,5.7,6.5,97.4,118.7"
",T.J. McConnell,Ind,*,G,33.7,15,16.6,23.8,7.7,1,1,114,0.544,17,0.353,0.542,0.544,9.5,2.4,4.3,1.2,0.2,0.7,11.9,13.9,16.3,11.1,119,111.1"
",Pete Nance,Mil,*,F,25.8,6,2.9,27.7,0,0,0,3,1,8,0.5,0.818,0.818,3,0.7,0.2,0,0,0,3.7,3.2,3.8,10.3,0,0"
",Wendell Moore Jr.,Det,*,G,24.2,3,14.4,6.6,14.3,0,0,5,0.6,1,0,0.5,0.5,2,1.3,1,0.7,0.3,0.3,3.3,3,4.3,3.8,111,116.2"
",Daeqwon Plowden,Sac,*,G-F,27.3,1,14,15.2,0,0,0,2,0.5,3,0,0.2,0.2,2,2,0,0,0,0,4,2,4,0,72,130.9"
",Doug McDermott,Sac,*,F,33.9,2,5.5,19.3,20,0,0,0,0,4,0.5,0.75,0.75,3,0,0,0,0,0.5,3,3,3,0,102.5,111"
",Jordan Miller,Lac,*,G,25.9,4,13.6,22,13.4,12,0.917,9,0.444,10,0.5,0.605,0.7,8.5,2.3,0.8,0.5,0,0.8,10.8,9.3,11.5,7.4,135.2,118"
",Garrett Temple,Tor,*,G-F,39.6,5,3.7,13.4,19.2,2,0.5,1,0,3,0.333,0.375,0.41,0.8,0.4,0.2,0.4,0.2,0.2,1.2,1,1.4,4.3,0,0"
",Jamal Cain,Orl,*,F,26.7,5,6.3,14.5,19.6,2,0.5,3,0.667,5,0.2,0.438,0.45,1.6,0.8,0.4,0.2,0.2,0.4,2.4,2,2.8,5.1,93.2,104"
",Antonio Reeves,Cha,*,G,23.1,6,8.8,12.7,0,0,0,6,0.5,10,0.5,0.656,0.656,3.5,0.8,0.3,0.2,0,0,4.3,3.8,4.7,4.3,138.8,117.9"
",Zach Edey,Mem,*,C,23.6,11,25.8,20.2,20.9,32,0.781,93,0.656,5,0.2,0.638,0.669,13.6,11.1,1.1,0.6,1.9,2.4,24.7,14.7,25.8,8.5,120,99.9"
",Adou Thiero,Lal,*,G,21.6,9,5.8,8.5,35.9,5,0.8,5,0.6,0,0,0.6,0.694,1.1,0.7,0.1,0.3,0,0.3,1.8,1.2,1.9,2.9,121.2,103"
",Coby White,Chi,*,G,25.8,8,29.3,31.2,15.6,65,0.8,67,0.537,57,0.298,0.496,0.573,21.9,3,5,0.5,0,2.9,24.9,26.9,29.9,9.4,111.3,117.5"
",Isaac Jones,Det,*,F,25.4,1,1.3,62.9,0,0,0,1,1,1,0,0.5,0.5,2,0,0,0,0,0,2,2,2,0,0,0"
",Paul George,Phi,*,F,35.6,9,25.4,25,12.2,30,0.833,58,0.466,50,0.38,0.514,0.561,15.1,5.1,3.3,1.6,0.3,1.7,20.2,18.4,23.6,10,112.9,108.6"
",Drew Peterson,Cha,*,F,26.1,5,11.9,11.2,0,2,0.5,4,0.5,11,0,0.133,0.157,1,1.4,0.4,0.6,0.2,0,2.4,1.4,2.8,2.8,55.2,116.3"
",LeBron James,Lal,*,F,41,8,33.5,22.6,12.6,28,0.607,75,0.547,36,0.306,0.518,0.535,16.5,6,7.6,0.6,0.6,2,22.5,24.1,30.1,10.9,116.4,115.5"
",Jamaree Bouyea,Pho,*,G,26.5,9,15.1,15.4,6.2,4,0.75,26,0.654,19,0.632,0.778,0.781,8.1,1.2,1.9,0.7,0.3,0.3,9.3,10,11.2,7,156.1,115.8"
",Javonte Cooke,Por,*,G,26.4,5,6.1,20.7,25,0,0,7,0.286,5,0.2,0.292,0.292,1.4,0.6,1,0.2,0,0.8,2,2.4,3,6.2,66.9,121.1"
",Keegan Murray,Sac,*,F,25.3,10,36.8,18.1,5.5,24,0.708,80,0.575,58,0.259,0.496,0.518,15.4,7.4,1.6,1.8,1.4,0.8,22.8,17,24.4,6.2,108.8,117"
",Jahmai Mashack,Mem,*,G,23.1,2,4.7,22,0,0,0,1,0,4,0.5,0.6,0.6,3,1,0,0,0,0,4,3,4,0,113.7,117.2"
",Garrison Mathews,Ind,*,G,29.1,10,14.7,13.5,7.4,17,0.824,3,0.667,34,0.324,0.5,0.573,5.1,1.2,0.7,0.3,0.2,0.3,6.3,5.8,7,4.4,119.9,114.7"
",Noa Essengue,Chi,*,F,19,2,3,20.8,0,0,0,1,0,2,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0"
",Jaden Ivey,Det,*,G,23.8,10,14.4,21.9,15.6,16,0.875,33,0.515,26,0.385,0.542,0.591,7.8,2.6,1.4,0.4,0.1,1.1,10.4,9.2,11.8,8.5,115.4,106.2"
",Chris Livingston,Cle,*,F,22.2,3,5.8,17.6,0,1,1,4,1,3,0,0.571,0.605,3,1,0.3,0.3,0,0,4,3.3,4.3,6.7,129.1,91.3"
",Tosan Evbuomwan,Nyk,*,F,24.8,4,1.8,5.9,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0.5,0,0,0"
",Tyler Herro,Mia,*,G,25.9,6,31.8,25.1,6.6,26,0.923,62,0.565,37,0.405,0.581,0.629,23.2,5,2.3,1,0.5,1.2,28.2,25.5,30.5,8.1,122,111.6"
",Isaiah Crawford,Hou,*,F,24.1,2,2.3,8.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
",Drew Timme,Lal,*,F,25.3,2,3.9,11.1,0,0,0,1,1,1,0,0.5,0.5,1,1,1.5,0.5,0,0,2,2.5,3.5,11.7,0,0"
",Kenrich Williams,Okc,*,G-F,31,7,16,15.7,15.7,6,0.5,17,0.529,15,0.467,0.609,0.606,6,2.9,2,0,0,0.9,8.9,8,10.9,8.2,117.7,102.7"
",Jalen Williams,Okc,*,G-F,24.7,6,28,26.2,9.6,20,1,70,0.514,14,0.286,0.5,0.56,17.3,5.2,6.2,1.2,0.8,1.5,22.5,23.5,28.7,11.8,119.8,101.1"
",Lachlan Olbrich,Chi,*,C,22,5,7.2,9.3,25,0,0,3,0.333,3,0,0.167,0.167,0.4,2.2,0.6,0,0,0.4,2.6,1,3.2,4.5,70.7,98.2"
",Emanuel Miller,Chi,*,F,25.5,5,6.6,17.4,0,2,0.5,7,0.571,6,0.333,0.538,0.54,3,0.6,0.8,0.4,0,0,3.6,3.8,4.4,6.8,124.2,116.9"
",Curtis Jones,Den,*,G,24.2,2,1.6,40.1,0,0,0,2,0.5,1,0,0.333,0.333,1,1,0,0,0,0,2,1,2,0,0,0"
",Chucky Hepburn,Tor,*,G,22.8,2,6.6,22.4,14.3,0,0,1,0,5,0,0,0,0,0.5,1,0.5,0,0.5,0.5,1,1.5,0,19.6,101.6"
",Trey Alexander,Nor,*,G,22.6,3,12.5,11.2,10,0,0,6,0.667,3,0.667,0.778,0.778,4.7,1.3,1.3,0.3,0.3,0.3,6,6,7.3,6.4,145.2,115.6"
",Kasparas Jakucionis,Mia,*,G,19.5,1,0.9,90.7,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0"
",Ethan Thompson,Ind,*,G,26.6,5,21,9.3,0,3,0.667,6,0.667,16,0.438,0.659,0.665,6.2,1.8,1.4,0.6,0.4,0,8,7.6,9.4,4.8,149.2,111"
",Seth Curry,Gol,*,G,35.3,2,16.1,11.9,0,0,0,5,0.8,4,0.5,0.778,0.778,7,2,1.5,1,0,0,9,8.5,10.5,6.9,164.1,106.7"
",Trentyn Flowers,Chi,*,F,20.8,2,2.8,29.7,25,0,0,2,1,1,0,0.667,0.667,2,0.5,0.5,0,0,0.5,2.5,2.5,3,11.3,0,0"
",De'Anthony Melton,Gol,*,G,27.5,3,19.6,26.8,16,14,0.786,15,0.533,11,0.273,0.481,0.56,12,1.3,1.7,1.7,0.3,1.7,13.3,13.7,15,6.1,106,102.2"
",Zach Collins,Chi,*,F-C,28.1,3,19.8,15.6,4.9,5,0.8,12,0.583,7,0.429,0.605,0.637,9,6,1.3,0,0.7,0.3,15,10.3,16.3,8.3,142,114"
",Marcus Sasser,Det,*,G,25.2,2,4.2,19.5,0,0,0,2,1,2,0.5,0.875,0.875,3.5,0,1.5,0,0,0,3.5,5,5,0,190.3,84.4"
",A.J. Lawson,Tor,*,G,25.4,2,8.2,28.1,0,2,1,6,0.333,4,0.5,0.5,0.551,6,2.5,0,0,1,0,8.5,6,8.5,0,117.4,82.7"
",Alijah Martin,Tor,*,G,24,2,3.3,6.5,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0"
",Kevin McCullar Jr.,Nyk,*,G,24.7,1,1.2,34.9,0,0,0,0,0,1,1,1.5,1.5,3,1,0,0,0,0,4,3,4,0,0,0"
",Josh Green,Cha,*,G,25.1,1,17.4,4.8,0,0,0,1,1,1,0,0.5,0.5,2,0,1,1,0,0,2,3,3,0,123.9,111.2"
